benchmark,task_name,method,timing_mode,budget_unit,atomic_eval_rollouts,mean_online_rollout_equivalents_per_interval,total_online_rollout_equivalents,mean_charged_loop_budget_used,mean_actual_cpu_loop_wall_ms,mean_candidates_per_interval,accounting_scope
gymnasium-toy-text,gym-cliffwalking,DLGPR-full,simulated_charged,ms,,,,19.449569302691426,394.652844166679,7.433333333333334,"Online atomic evaluation, RL training, and RL-to-population injection rollouts. Module initialization and final incumbent evaluation are disclosed offline work."
gymnasium-toy-text,gym-cliffwalking,fixed-split,simulated_charged,ms,,,,19.565013186723093,296.1453600004461,7.666666666666667,"Online atomic evaluation, RL training, and RL-to-population injection rollouts. Module initialization and final incumbent evaluation are disclosed offline work."
gymnasium-toy-text,gym-cliffwalking,greedy-improvement,simulated_charged,ms,,,,19.304046769168288,243.05044999988846,7.766666666666667,"Online atomic evaluation, RL training, and RL-to-population injection rollouts. Module initialization and final incumbent evaluation are disclosed offline work."
gymnasium-toy-text,gym-cliffwalking,no-handshake,simulated_charged,ms,,,,19.453414177991323,222.92488083282174,7.558333333333334,"Online atomic evaluation, RL training, and RL-to-population injection rollouts. Module initialization and final incumbent evaluation are disclosed offline work."
gymnasium-toy-text,gym-cliffwalking,no-non-starvation,simulated_charged,ms,,,,19.304046769168288,244.867469999978,7.766666666666667,"Online atomic evaluation, RL training, and RL-to-population injection rollouts. Module initialization and final incumbent evaluation are disclosed offline work."
gymnasium-toy-text,gym-cliffwalking,robust-DLGPR,simulated_charged,ms,,,,19.449569302691426,856.0750383339231,7.433333333333334,"Online atomic evaluation, RL training, and RL-to-population injection rollouts. Module initialization and final incumbent evaluation are disclosed offline work."
gymnasium-toy-text,gym-cliffwalking,robust-near-elite-DLGPR,simulated_charged,ms,,,,19.304046769168288,452.9803541679333,7.766666666666667,"Online atomic evaluation, RL training, and RL-to-population injection rollouts. Module initialization and final incumbent evaluation are disclosed offline work."
gymnasium-toy-text,gym-cliffwalking,round-robin,simulated_charged,ms,,,,19.565013186723093,294.52582916746906,7.666666666666667,"Online atomic evaluation, RL training, and RL-to-population injection rollouts. Module initialization and final incumbent evaluation are disclosed offline work."
gymnasium-toy-text,gym-frozenlake-4x4,DLGPR-full,simulated_charged,ms,,,,19.441465953308686,74.99420916719828,7.908333333333333,"Online atomic evaluation, RL training, and RL-to-population injection rollouts. Module initialization and final incumbent evaluation are disclosed offline work."
gymnasium-toy-text,gym-frozenlake-4x4,fixed-split,simulated_charged,ms,,,,19.34594532593461,75.46097416767832,7.858333333333333,"Online atomic evaluation, RL training, and RL-to-population injection rollouts. Module initialization and final incumbent evaluation are disclosed offline work."
gymnasium-toy-text,gym-frozenlake-4x4,greedy-improvement,simulated_charged,ms,,,,19.40336086284412,71.5617391661605,7.766666666666667,"Online atomic evaluation, RL training, and RL-to-population injection rollouts. Module initialization and final incumbent evaluation are disclosed offline work."
gymnasium-toy-text,gym-frozenlake-4x4,no-handshake,simulated_charged,ms,,,,19.355792457268347,63.98800749993825,7.758333333333334,"Online atomic evaluation, RL training, and RL-to-population injection rollouts. Module initialization and final incumbent evaluation are disclosed offline work."
gymnasium-toy-text,gym-frozenlake-4x4,no-non-starvation,simulated_charged,ms,,,,19.410200879720506,72.57239250090304,7.733333333333333,"Online atomic evaluation, RL training, and RL-to-population injection rollouts. Module initialization and final incumbent evaluation are disclosed offline work."
gymnasium-toy-text,gym-frozenlake-4x4,robust-DLGPR,simulated_charged,ms,,,,19.4595101515627,138.25089333319434,7.758333333333334,"Online atomic evaluation, RL training, and RL-to-population injection rollouts. Module initialization and final incumbent evaluation are disclosed offline work."
gymnasium-toy-text,gym-frozenlake-4x4,robust-near-elite-DLGPR,simulated_charged,ms,,,,19.300883687795093,109.25615416684498,7.741666666666666,"Online atomic evaluation, RL training, and RL-to-population injection rollouts. Module initialization and final incumbent evaluation are disclosed offline work."
gymnasium-toy-text,gym-frozenlake-4x4,round-robin,simulated_charged,ms,,,,19.34594532593461,73.80409749954804,7.858333333333333,"Online atomic evaluation, RL training, and RL-to-population injection rollouts. Module initialization and final incumbent evaluation are disclosed offline work."
gymnasium-toy-text,gym-frozenlake-4x4-deterministic,DLGPR-full,simulated_charged,ms,,,,19.502734439508725,119.3752533334191,7.766666666666667,"Online atomic evaluation, RL training, and RL-to-population injection rollouts. Module initialization and final incumbent evaluation are disclosed offline work."
gymnasium-toy-text,gym-frozenlake-4x4-deterministic,fixed-split,simulated_charged,ms,,,,19.313058532966007,140.9240033330813,7.625,"Online atomic evaluation, RL training, and RL-to-population injection rollouts. Module initialization and final incumbent evaluation are disclosed offline work."
gymnasium-toy-text,gym-frozenlake-4x4-deterministic,greedy-improvement,simulated_charged,ms,,,,19.40336086284412,112.17344749978413,7.766666666666667,"Online atomic evaluation, RL training, and RL-to-population injection rollouts. Module initialization and final incumbent evaluation are disclosed offline work."
gymnasium-toy-text,gym-frozenlake-4x4-deterministic,no-handshake,simulated_charged,ms,,,,19.45335392523627,102.84948666679459,7.775,"Online atomic evaluation, RL training, and RL-to-population injection rollouts. Module initialization and final incumbent evaluation are disclosed offline work."
gymnasium-toy-text,gym-frozenlake-4x4-deterministic,no-non-starvation,simulated_charged,ms,,,,19.433684586907557,121.50771999901433,7.808333333333334,"Online atomic evaluation, RL training, and RL-to-population injection rollouts. Module initialization and final incumbent evaluation are disclosed offline work."
gymnasium-toy-text,gym-frozenlake-4x4-deterministic,robust-DLGPR,simulated_charged,ms,,,,19.502734439508725,247.99733499991513,7.766666666666667,"Online atomic evaluation, RL training, and RL-to-population injection rollouts. Module initialization and final incumbent evaluation are disclosed offline work."
gymnasium-toy-text,gym-frozenlake-4x4-deterministic,robust-near-elite-DLGPR,simulated_charged,ms,,,,19.433684586907557,244.81980749987997,7.808333333333334,"Online atomic evaluation, RL training, and RL-to-population injection rollouts. Module initialization and final incumbent evaluation are disclosed offline work."
gymnasium-toy-text,gym-frozenlake-4x4-deterministic,round-robin,simulated_charged,ms,,,,19.313058532966007,141.10533833312124,7.625,"Online atomic evaluation, RL training, and RL-to-population injection rollouts. Module initialization and final incumbent evaluation are disclosed offline work."
gymnasium-toy-text-card,gym-blackjack,DLGPR-full,simulated_charged,ms,,,,19.486007276398855,39.94840666649301,7.8,"Online atomic evaluation, RL training, and RL-to-population injection rollouts. Module initialization and final incumbent evaluation are disclosed offline work."
gymnasium-toy-text-card,gym-blackjack,fixed-split,simulated_charged,ms,,,,19.289024789550844,39.02880666682904,7.766666666666667,"Online atomic evaluation, RL training, and RL-to-population injection rollouts. Module initialization and final incumbent evaluation are disclosed offline work."
gymnasium-toy-text-card,gym-blackjack,greedy-improvement,simulated_charged,ms,,,,19.437665953422158,30.759796666461625,7.858333333333333,"Online atomic evaluation, RL training, and RL-to-population injection rollouts. Module initialization and final incumbent evaluation are disclosed offline work."
gymnasium-toy-text-card,gym-blackjack,no-handshake,simulated_charged,ms,,,,19.33961898835819,27.652263332978084,7.808333333333334,"Online atomic evaluation, RL training, and RL-to-population injection rollouts. Module initialization and final incumbent evaluation are disclosed offline work."
